book_number,title,author,language,genres,plain_text_url
4678,"Lives of the English PoetsGay, Thomson, Young, Gray, &c.","Johnson, Samuel, 1709-1784",English,"['Biographies', 'British Literature']",https://www.gutenberg.org/ebooks/4678.txt.utf-8
4680,"Manuel Pereira; Or, The Sovereign Rule of South Carolina","Adams, F. Colburn (Francis Colburn), 1850-1891",English,"['American Literature', 'Historical Novels', 'Novels']",https://www.gutenberg.org/ebooks/4680.txt.utf-8
4682,Nonsense Novels,"Leacock, Stephen, 1869-1944",English,"['Short Stories', 'Humour']",https://www.gutenberg.org/ebooks/4682.txt.utf-8
4684,The U. P. Trail,"Grey, Zane, 1872-1939",English,"['American Literature', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4684.txt.utf-8
4687,Saturday's Child,"Norris, Kathleen Thompson, 1880-1966",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4687.txt.utf-8
4694,Mademoiselle of Monte Carlo,"Le Queux, William, 1864-1927",English,"['Novels', 'Crime, Thrillers and Mystery']",https://www.gutenberg.org/ebooks/4694.txt.utf-8
4698,Whitefoot the Wood Mouse,"Burgess, Thornton W. (Thornton Waldo), 1874-1965",English,"['American Literature', 'Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/4698.txt.utf-8
4699,We of the Never-Never,"Gunn, Jeannie, 1870-1961",English,['Novels'],https://www.gutenberg.org/ebooks/4699.txt.utf-8
4702,The Flaming Forest,"Curwood, James Oliver, 1878-1927",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4702.txt.utf-8
4703,Flower of the North: A Modern Romance,"Curwood, James Oliver, 1878-1927",English,"['Romance', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4703.txt.utf-8
4704,Nomads of the North: A Story of Romance and Adventure under the Open Stars,"Curwood, James Oliver, 1878-1927",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4704.txt.utf-8
4706,"Yama [The Pit], a Novel in Three Parts","Kuprin, A. I. (Aleksandr Ivanovich), 1870-1938",English,"['Novels', 'Russian Literature']",https://www.gutenberg.org/ebooks/4706.txt.utf-8
4707,The Valley of Silent Men: A Story of the Three River Country,"Curwood, James Oliver, 1878-1927",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4707.txt.utf-8
4709,Brewster's Millions,"McCutcheon, George Barr, 1866-1928",English,"['American Literature', 'Humour', 'Novels']",https://www.gutenberg.org/ebooks/4709.txt.utf-8
4711,"Tom Swift in the City of Gold; Or, Marvelous Adventures Underground","Appleton, Victor",English,"['Adventure', 'Children & Young Adult Reading']",https://www.gutenberg.org/ebooks/4711.txt.utf-8
4712,The Landloper: The Romance of a Man on Foot,"Day, Holman, 1865-1935",English,"['American Literature', 'Romance', 'Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4712.txt.utf-8
4713,"The Veiled Lady, and Other Men and Women","Smith, Francis Hopkinson, 1838-1915",English,"['American Literature', 'Short Stories', 'Novels']",https://www.gutenberg.org/ebooks/4713.txt.utf-8
4714,Mr. Achilles,"Lee, Jennette, 1860-1951",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4714.txt.utf-8
4715,An African Millionaire: Episodes in the Life of the Illustrious Colonel Clay,"Allen, Grant, 1848-1899",English,"['Novels', 'Crime, Thrillers and Mystery', 'British Literature']",https://www.gutenberg.org/ebooks/4715.txt.utf-8
4719,Wacousta : a tale of the Pontiac conspiracy — Volume 1,"Richardson, Major (John), 1796-1852",English,"['Historical Novels', 'Adventure']",https://www.gutenberg.org/ebooks/4719.txt.utf-8
4720,Wacousta : a tale of the Pontiac conspiracy — Volume 2,"Richardson, Major (John), 1796-1852",English,"['Historical Novels', 'Adventure', 'British Literature']",https://www.gutenberg.org/ebooks/4720.txt.utf-8
4721,Darkness and Daylight: A Novel,"Holmes, Mary Jane, 1825-1907",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4721.txt.utf-8
4725,John Lothrop Motley. a memoir — Volume 1,"Holmes, Oliver Wendell, 1809-1894",English,"['American Literature', 'Biographies']",https://www.gutenberg.org/ebooks/4725.txt.utf-8
4728,"John Lothrop Motley, A Memoir — Complete","Holmes, Oliver Wendell, 1809-1894",English,"['American Literature', 'Biographies']",https://www.gutenberg.org/ebooks/4728.txt.utf-8
4731,Seven Little Australians,"Turner, Ethel, 1870-1958",English,"['Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/4731.txt.utf-8
4733,When Egypt Went Broke: A Novel,"Day, Holman, 1865-1935",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4733.txt.utf-8
4734,The Grim Smile of the Five Towns,"Bennett, Arnold, 1867-1931",English,"['Novels', 'British Literature']",https://www.gutenberg.org/ebooks/4734.txt.utf-8
4735,The Shepherd of the Hills,"Wright, Harold Bell, 1872-1944",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4735.txt.utf-8
4737,A Tale of a Tub,"Swift, Jonathan, 1667-1745",English,"['Humour', 'Novels', 'British Literature']",https://www.gutenberg.org/ebooks/4737.txt.utf-8
4743,The Country Beyond: A Romance of the Wilderness,"Curwood, James Oliver, 1878-1927",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4743.txt.utf-8
4745,At the Villa Rose,"Mason, A. E. W. (Alfred Edward Woodley), 1865-1948",English,"['Novels', 'Crime, Thrillers and Mystery', 'British Literature']",https://www.gutenberg.org/ebooks/4745.txt.utf-8
4746,Kennedy Square,"Smith, Francis Hopkinson, 1838-1915",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4746.txt.utf-8
4747,The River's End,"Curwood, James Oliver, 1878-1927",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4747.txt.utf-8
4748,"Baree, son of Kazan","Curwood, James Oliver, 1878-1927",English,"['Adventure', 'Novels']",https://www.gutenberg.org/ebooks/4748.txt.utf-8
4757,The Long Ago,"Wright, J. W. (Jacob William), 1871-",English,"['American Literature', 'Novels', 'Biographies']",https://www.gutenberg.org/ebooks/4757.txt.utf-8
4760,"Tillie, a Mennonite Maid; a Story of the Pennsylvania Dutch","Martin, Helen Reimensnyder, 1868-1939",English,"['American Literature', 'Historical Novels', 'Novels']",https://www.gutenberg.org/ebooks/4760.txt.utf-8
4761,The Cossacks: A Tale of 1852,"Tolstoy, Leo, graf, 1828-1910",English,"['Historical Novels', 'Novels', 'Russian Literature']",https://www.gutenberg.org/ebooks/4761.txt.utf-8
4767,The Mayor's Wife,"Green, Anna Katharine, 1846-1935",English,"['American Literature', 'Novels', 'Crime, Thrillers and Mystery']",https://www.gutenberg.org/ebooks/4767.txt.utf-8
4770,Work: A Story of Experience,"Alcott, Louisa May, 1832-1888",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4770.txt.utf-8
4777,Strong as Death,"Maupassant, Guy de, 1850-1893",English,"['Novels', 'French Literature']",https://www.gutenberg.org/ebooks/4777.txt.utf-8
4781,The Hohenzollerns in AmericaWith the Bolsheviks in Berlin and Other Impossibilities,"Leacock, Stephen, 1869-1944",English,"['Humour', 'Novels']",https://www.gutenberg.org/ebooks/4781.txt.utf-8
4784,Brother and Sister,"Lawrence, Josephine, 1897?-1978",English,"['Children & Young Adult Reading', 'Novels']",https://www.gutenberg.org/ebooks/4784.txt.utf-8
4787,The Story of Julia Page,"Norris, Kathleen Thompson, 1880-1966",English,"['American Literature', 'Novels']",https://www.gutenberg.org/ebooks/4787.txt.utf-8
4789,Black Caesar's Clan : A Florida Mystery Story,"Terhune, Albert Payson, 1872-1942",English,"['American Literature', 'Crime, Thrillers and Mystery', 'Adventure', 'Romance', 'Novels']",https://www.gutenberg.org/ebooks/4789.txt.utf-8
4790,Half a Rogue,"MacGrath, Harold, 1871-1932",English,"['American Literature', 'Romance', 'Novels']",https://www.gutenberg.org/ebooks/4790.txt.utf-8
